kegg	aracyc	name	source	gene_count	genes
	aracyc:PWY-5871	ubiquinol-9 biosynthesis (late decarboxylation)	AraCyc	3	AT1G24340,AT4G23660,AT5G57300
	aracyc:PWY-5886	3-(4-hydroxyphenyl)pyruvate biosynthesis	AraCyc	6	AT1G70560,AT1G80360,AT4G28420,AT5G36160,AT5G51690,AT5G53970
	aracyc:PWY-5905	hypusine biosynthesis	AraCyc	4	AT3G43260,AT3G58180,AT3G62530,AT5G05920
	aracyc:PWY-5918	superpathway of heme b biosynthesis from glutamate	AraCyc	18	AT1G03475,AT1G09940,AT1G44318,AT1G58290,AT1G69740,AT2G26540,AT2G30390,AT2G31250,AT2G40490,AT3G14930,AT3G48730,AT4G01690,AT4G03205,AT4G03240,AT5G08280,AT5G14220,AT5G26030,AT5G63570
	aracyc:PWY-5934	iron reduction and absorption	AraCyc	10	AT1G01580,AT1G01590,AT1G23020,AT4G19680,AT4G19690,AT5G23980,AT5G23990,AT5G49730,AT5G49740,AT5G50160
	aracyc:PWY-5943	beta-carotene biosynthesis	AraCyc	1	AT3G10230
	aracyc:PWY-5944	zeaxanthin biosynthesis	AraCyc	1	AT5G52570
	aracyc:PWY-5945	violaxanthin, antheraxanthin and zeaxanthin interconversion	AraCyc	2	AT2G21530,AT2G21860
	aracyc:PWY-5946	alpha-carotene biosynthesis	AraCyc	1	AT5G57030
	aracyc:PWY-5947	lutein biosynthesis	AraCyc	5	AT1G31800,AT3G53130,AT4G15110,AT4G25700,AT5G52570
	aracyc:PWY-5957	L-nicotianamine biosynthesis	AraCyc	5	AT1G09240,AT1G56430,AT4G26483,AT5G04950,AT5G56080
	aracyc:PWY-5963	molybdenum cofactor sulfulylation (eukaryotes)	AraCyc	6	AT1G16540,AT2G23520,AT4G22980,AT4G37100,AT5G51920,AT5G66950
	aracyc:PWY-5968	cinnamate esters biosynthesis	AraCyc	4	AT2G23260,AT4G15480,AT4G15490,AT4G15500
	aracyc:PWY-5971	palmitate biosynthesis II (type II fatty acid synthase)	AraCyc	33	AT1G07440,AT1G08510,AT1G10310,AT1G20560,AT1G35250,AT1G35290,AT1G49430,AT1G62610,AT1G62940,AT1G63380,AT1G64400,AT1G66550,AT1G68260,AT1G68280,AT1G77590,AT2G04350,AT2G04540,AT2G05990,AT2G17845,AT2G22230,AT2G47240,AT2G47245,AT3G05970,AT3G25110,AT3G46170,AT3G55290,AT3G55310,AT4G11030,AT4G23850,AT5G10160,AT5G27600,AT5G60335,AT5G64250
	aracyc:PWY-5973	cis-vaccenate biosynthesis	AraCyc	20	AT1G07440,AT1G08510,AT1G10310,AT1G35250,AT1G35290,AT1G62610,AT1G63380,AT1G66550,AT1G68260,AT1G68280,AT2G05990,AT2G17845,AT2G22230,AT3G25110,AT3G46170,AT3G55290,AT3G55310,AT5G10160,AT5G60335,AT5G64250
	aracyc:PWY-5980	xylogalacturonan biosynthesis	AraCyc	27	AT1G21480,AT1G27440,AT1G34270,AT1G67410,AT1G74680,AT2G28110,AT2G35100,AT3G03650,AT3G07620,AT3G42180,AT3G45400,AT4G16745,AT4G32790,AT4G38040,AT5G03795,AT5G11130,AT5G11610,AT5G16890,AT5G19670,AT5G20260,AT5G22940,AT5G25310,AT5G25820,AT5G33290,AT5G37000,AT5G44930,AT5G61840
	aracyc:PWY-5986	ammonium transport	AraCyc	2	AT3G24300,AT4G13510
	aracyc:PWY-5989	stearate biosynthesis II (bacteria and plants)	AraCyc	33	AT1G07440,AT1G08510,AT1G10310,AT1G20560,AT1G35250,AT1G35290,AT1G49430,AT1G62610,AT1G62940,AT1G63380,AT1G64400,AT1G66550,AT1G68260,AT1G68280,AT1G77590,AT2G04350,AT2G04540,AT2G05990,AT2G17845,AT2G22230,AT2G47240,AT2G47245,AT3G05970,AT3G25110,AT3G46170,AT3G55290,AT3G55310,AT4G11030,AT4G23850,AT5G10160,AT5G27600,AT5G60335,AT5G64250
	aracyc:PWY-5992	thalianol and derivatives biosynthesis	AraCyc	28	AT1G50520,AT1G50560,AT1G65670,AT1G78490,AT2G05180,AT2G27000,AT2G27010,AT3G20080,AT3G20090,AT3G20100,AT3G20110,AT3G20120,AT3G20140,AT3G20935,AT3G20940,AT3G20950,AT3G20960,AT3G30290,AT3G44970,AT4G15300,AT4G15310,AT4G15350,AT4G15380,AT4G15393,AT4G15396,AT5G47990,AT5G48000,AT5G48010
	aracyc:PWY-5995	linoleate biosynthesis I (plants)	AraCyc	2	AT3G12120,AT4G30950
	aracyc:PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)	AraCyc	1	AT1G01220
	aracyc:PWY-6005	marneral biosynthesis	AraCyc	1	AT5G42600
	aracyc:PWY-6007	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II	AraCyc	10	AT1G28430,AT2G14100,AT3G20090,AT3G20110,AT3G20130,AT3G32047,AT4G15330,AT4G15340,AT4G15360,AT5G42580
	aracyc:PWY-6008	baruol biosynthesis	AraCyc	1	AT4G15370
	aracyc:PWY-601	glucosinolate biosynthesis from tryptophan	AraCyc	36	AT1G18590,AT1G21100,AT1G21110,AT1G21120,AT1G21130,AT1G24100,AT1G58265,AT1G66540,AT1G69820,AT1G74090,AT1G74100,AT1G76790,AT1G77530,AT2G20610,AT2G23190,AT2G23220,AT2G23960,AT2G23970,AT2G24850,AT4G23600,AT4G28410,AT4G29210,AT4G30530,AT4G30540,AT4G30550,AT4G37320,AT4G37400,AT4G37410,AT4G37430,AT4G39640,AT4G39650,AT5G36220,AT5G37170,AT5G53810,AT5G57220,AT5G67310
	aracyc:PWY-6012	acyl carrier protein metabolism	AraCyc	10	AT1G30060,AT1G55865,AT2G01800,AT2G02765,AT2G02770,AT3G11470,AT4G00580,AT4G00920,AT4G00930,AT5G37190
	aracyc:PWY-6014	vernolate biosynthesis I	AraCyc	8	AT1G11600,AT1G64900,AT3G03470,AT3G10560,AT3G10570,AT5G04630,AT5G04660,AT5G61320
	aracyc:PWY-6019	pseudouridine degradation	AraCyc	3	AT1G49350,AT1G50510,AT3G57150
	aracyc:PWY-6035	2,3-cis-flavanols biosynthesis	AraCyc	1	AT1G61720
	aracyc:PWY-6039	chlorogenic acid biosynthesis I	AraCyc	28	AT1G20480,AT1G20490,AT1G20500,AT1G20510,AT1G24735,AT1G51680,AT1G62940,AT1G65060,AT1G65450,AT1G67980,AT1G67990,AT1G74540,AT1G74550,AT2G40890,AT3G21230,AT3G21240,AT3G48990,AT3G61990,AT3G62000,AT4G05160,AT4G19010,AT4G26220,AT4G34050,AT5G09970,AT5G38120,AT5G48930,AT5G57840,AT5G63380
	aracyc:PWY-6040	chlorogenic acid biosynthesis II	AraCyc	21	AT1G20480,AT1G20490,AT1G20500,AT1G20510,AT1G51680,AT1G62940,AT1G65060,AT1G65450,AT1G74540,AT1G74550,AT2G40890,AT3G21230,AT3G21240,AT3G48990,AT4G05160,AT4G19010,AT5G09970,AT5G38120,AT5G48930,AT5G57840,AT5G63380
	aracyc:PWY-6051	2,4,6-trinitrotoluene degradation	AraCyc	8	AT1G05675,AT1G05680,AT2G15480,AT2G15490,AT2G31790,AT2G36750,AT2G36790,AT4G34135
	aracyc:PWY-6066	IAA biosynthesis VII	AraCyc	2	AT3G06810,AT4G05530
	aracyc:PWY-6115	avenacin biosynthesis, initial reactions	AraCyc	10	AT1G66960,AT1G78480,AT1G78500,AT1G78950,AT1G78955,AT1G78960,AT1G78970,AT2G07050,AT3G29255,AT5G36150
	aracyc:PWY-6117	spermine and spermidine degradation I	AraCyc	9	AT1G65840,AT2G32020,AT2G32030,AT2G39030,AT2G43020,AT3G22560,AT3G59050,AT4G29720,AT5G13700
	aracyc:PWY-6118	glycerol-3-phosphate shuttle	AraCyc	5	AT2G40690,AT2G41540,AT3G07690,AT3G10370,AT5G40610
	aracyc:PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	AraCyc	7	AT1G09830,AT1G31220,AT1G74260,AT2G16570,AT3G55010,AT4G34740,AT4G38880
	aracyc:PWY-6124	inosine-5'-phosphate biosynthesis II	AraCyc	6	AT1G36280,AT2G05140,AT2G35040,AT2G37690,AT3G21110,AT4G18440
	aracyc:PWY-6132	lanosterol biosynthesis	AraCyc	1	AT3G45130
	aracyc:PWY-6137	copper transport II	AraCyc	1	AT4G33520
	aracyc:PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	AraCyc	6	AT1G68760,AT1G69190,AT2G19180,AT3G21730,AT4G30000,AT5G62980
	aracyc:PWY-6163	chorismate biosynthesis from 3-dehydroquinate	AraCyc	6	AT1G48850,AT1G48860,AT2G21940,AT2G45300,AT3G06350,AT4G39540
	aracyc:PWY-6164	3-dehydroquinate biosynthesis I	AraCyc	4	AT1G22410,AT4G33510,AT4G39980,AT5G66120
	aracyc:PWY-6196	D-serine metabolism	AraCyc	2	AT3G20390,AT4G11640
	aracyc:PWY-6199	quercetin sulfate biosynthesis	AraCyc	13	AT1G13430,AT1G28170,AT2G03750,AT2G14920,AT2G27570,AT3G45070,AT3G45080,AT3G51210,AT4G26220,AT4G26280,AT5G37170,AT5G43690,AT5G54160
	aracyc:PWY-621	sucrose degradation III (sucrose invertase)	AraCyc	28	AT1G06020,AT1G06030,AT1G35580,AT1G47840,AT1G47845,AT1G50390,AT1G50460,AT1G56560,AT1G66430,AT1G69200,AT1G72000,AT2G19860,AT2G31390,AT2G36190,AT3G13790,AT3G20040,AT3G54090,AT3G59480,AT4G09510,AT4G10260,AT4G24620,AT4G28706,AT4G29130,AT4G37840,AT5G22510,AT5G42740,AT5G51830,AT5G62573
	aracyc:PWY-6213	cadmium transport I	AraCyc	2	AT2G19110,AT4G30110
	aracyc:PWY-6219	indole-3-acetate inactivation VIII	AraCyc	12	AT1G28130,AT1G59500,AT2G14960,AT2G23170,AT2G47750,AT4G27260,AT4G37390,AT5G13350,AT5G13360,AT5G13370,AT5G13380,AT5G54510
	aracyc:PWY-622	starch biosynthesis	AraCyc	20	AT1G05610,AT1G11720,AT1G23190,AT1G27680,AT1G32900,AT1G70730,AT1G70820,AT2G21590,AT2G36390,AT2G39930,AT3G01180,AT4G18240,AT4G24620,AT4G39210,AT5G03650,AT5G17530,AT5G24300,AT5G42740,AT5G51820,AT5G65685
	aracyc:PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I	AraCyc	2	AT2G46370,AT4G03400
	aracyc:PWY-6232	chrysoeriol biosynthesis	AraCyc	2	AT4G26220,AT5G37170
	aracyc:PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II	AraCyc	2	AT2G46370,AT4G03400
	aracyc:PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis	AraCyc	2	AT2G46370,AT4G03400
	aracyc:PWY-6235	hydroxyjasmonate sulfate biosynthesis	AraCyc	3	AT1G51780,AT5G07000,AT5G07010
	aracyc:PWY-6239	luteolin glycosides biosynthesis	AraCyc	1	AT4G34138
	aracyc:PWY-6266-ARA	superpathway of flavones and derivatives biosynthesis	AraCyc	38	AT1G01390,AT1G01420,AT1G05675,AT1G05680,AT1G07240,AT1G07250,AT1G07260,AT1G30530,AT1G73880,AT2G15480,AT2G15490,AT2G23260,AT2G26480,AT2G29730,AT2G29740,AT2G29750,AT2G36790,AT2G36800,AT2G43840,AT3G16520,AT3G21750,AT3G21760,AT3G21790,AT3G21800,AT3G46660,AT3G46670,AT3G50740,AT4G15280,AT4G34131,AT4G34135,AT4G34138,AT5G05860,AT5G17030,AT5G17040,AT5G17050,AT5G59580,AT5G59590,AT5G66690
	aracyc:PWY-6275	beta-caryophyllene biosynthesis	AraCyc	1	AT5G23960
	aracyc:PWY-6287	neurosporene biosynthesis	AraCyc	1	AT5G17230
	aracyc:PWY-6295	olivetol biosynthesis	AraCyc	2	AT1G02050,AT4G34850
	aracyc:PWY-63	UDP-beta-L-arabinose biosynthesis I (from UDP-alpha-D-xylose)	AraCyc	5	AT1G30620,AT2G34850,AT3G28530,AT4G20460,AT5G44480
	aracyc:PWY-6303	methyl indole-3-acetate interconversion	AraCyc	9	AT2G23560,AT2G23600,AT2G23610,AT2G23620,AT3G10870,AT4G16690,AT4G37150,AT5G55250,AT5G58310
	aracyc:PWY-6317	D-galactose degradation I (Leloir pathway)	AraCyc	7	AT1G23190,AT1G70730,AT1G70820,AT3G06580,AT3G28530,AT5G17530,AT5G51820
	aracyc:PWY-6333	acetaldehyde biosynthesis I	AraCyc	1	AT1G77120
	aracyc:PWY-6348	phosphate acquisition	AraCyc	34	AT1G04040,AT1G08940,AT1G14700,AT1G25230,AT1G52940,AT1G54780,AT1G56360,AT2G01880,AT2G01890,AT2G16430,AT2G18130,AT2G32770,AT2G38600,AT3G05170,AT3G07130,AT3G17790,AT3G20500,AT3G46120,AT3G52780,AT3G52810,AT3G52820,AT4G13700,AT4G24890,AT4G25150,AT4G29260,AT4G29270,AT4G36350,AT5G08260,AT5G24770,AT5G24780,AT5G34850,AT5G44020,AT5G50400,AT5G51260
	aracyc:PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	AraCyc	40	AT1G01460,AT1G10900,AT1G13640,AT1G21920,AT1G21980,AT1G26270,AT1G27535,AT1G27570,AT1G49340,AT1G51040,AT1G60890,AT1G64460,AT1G67635,AT1G77660,AT1G77740,AT2G03890,AT2G26420,AT2G35170,AT2G40116,AT2G40850,AT2G41210,AT2G46500,AT3G07960,AT3G09920,AT3G43950,AT3G47220,AT3G47290,AT3G55940,AT3G56600,AT3G56960,AT4G01190,AT4G17080,AT4G34930,AT4G38530,AT4G38570,AT5G09350,AT5G24240,AT5G58690,AT5G58700,AT5G64070
	aracyc:PWY-6352	3-phosphoinositide biosynthesis	AraCyc	39	AT1G01460,AT1G10900,AT1G13640,AT1G21920,AT1G21980,AT1G26270,AT1G27535,AT1G27570,AT1G34260,AT1G47510,AT1G49340,AT1G51040,AT1G60490,AT1G60890,AT1G64460,AT1G67635,AT1G71010,AT1G77660,AT1G77740,AT2G03890,AT2G26420,AT2G35170,AT2G40850,AT2G41210,AT2G46500,AT3G07960,AT3G09920,AT3G14270,AT3G43950,AT3G48190,AT3G56600,AT3G56960,AT4G01190,AT4G17080,AT4G33240,AT4G38570,AT5G09350,AT5G24240,AT5G64070
	aracyc:PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	AraCyc	10	AT1G05630,AT1G34120,AT2G31830,AT2G43900,AT4G05090,AT4G18010,AT5G09290,AT5G63980,AT5G63990,AT5G64000
	aracyc:PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	AraCyc	10	AT1G05630,AT1G34120,AT2G31830,AT2G43900,AT4G05090,AT4G18010,AT5G09290,AT5G63980,AT5G63990,AT5G64000
	aracyc:PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	AraCyc	5	AT1G05630,AT1G34120,AT2G31830,AT2G43900,AT4G18010
	aracyc:PWY-6367	D-myo-inositol-5-phosphate metabolism	AraCyc	10	AT2G40116,AT3G10550,AT3G47220,AT3G47290,AT3G55940,AT4G34930,AT4G38530,AT5G04540,AT5G58690,AT5G58700
	aracyc:PWY-6369	inositol diphosphates biosynthesis	AraCyc	10	AT1G22100,AT1G58643,AT1G58936,AT1G59171,AT1G59312,AT3G01310,AT5G07370,AT5G15070,AT5G42810,AT5G61760
	aracyc:PWY-6406	salicylate biosynthesis I	AraCyc	2	AT1G18870,AT1G74710
	aracyc:PWY-641	proanthocyanidins biosynthesis from flavanols	AraCyc	9	AT1G49390,AT1G61720,AT2G38240,AT3G11180,AT3G55970,AT4G16330,AT4G22870,AT4G22880,AT5G05600
	aracyc:PWY-6441	spermine and spermidine degradation III	AraCyc	5	AT1G65840,AT2G43020,AT3G59050,AT4G29720,AT5G13700
	aracyc:PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis	AraCyc	4	AT1G67990,AT1G74540,AT1G74550,AT2G19070
	aracyc:PWY-6444	benzoate biosynthesis II (CoA-independent, non-beta-oxidative)	AraCyc	6	AT1G02590,AT1G04580,AT2G37040,AT3G10340,AT3G53260,AT5G04230
	aracyc:PWY-6457	cinnamoyl-CoA biosynthesis	AraCyc	4	AT2G37040,AT3G10340,AT3G53260,AT5G04230
	aracyc:PWY-6466	pyridoxal 5'-phosphate biosynthesis II	AraCyc	3	AT2G38210,AT3G16050,AT5G01410
	aracyc:PWY-6468	omega- hydroxylation of laurate	AraCyc	2	AT2G27690,AT3G52970
	aracyc:PWY-6473	4-aminobutanoate degradation IV	AraCyc	3	AT2G04137,AT3G25530,AT5G63620
	aracyc:PWY-6475	trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	AraCyc	5	AT1G06820,AT1G10830,AT1G57770,AT3G09580,AT5G17230
	aracyc:PWY-6477	gibberellin inactivation II (methylation)	AraCyc	3	AT4G26420,AT4G26460,AT5G56300
	aracyc:PWY-6481	L-dopa and L-dopachrome biosynthesis	AraCyc	1	AT3G21405
	aracyc:PWY-6483	ceramide degradation (generic)	AraCyc	3	AT1G27980,AT4G21534,AT4G21540
	aracyc:PWY-6498	eumelanin biosynthesis	AraCyc	3	AT3G51660,AT5G01650,AT5G57170
	aracyc:PWY-6502	8-oxo-(d)GTP detoxification I	AraCyc	1	AT1G68760
	aracyc:PWY-6520	nonaprenyl diphosphate biosynthesis II	AraCyc	3	AT1G17050,AT1G78510,AT2G34630
	aracyc:PWY-6527	stachyose degradation	AraCyc	8	AT2G35020,AT3G06580,AT3G28530,AT3G56040,AT3G57520,AT5G17310,AT5G18200,AT5G52560
	aracyc:PWY-6543	4-aminobenzoate biosynthesis I	AraCyc	3	AT2G28880,AT3G54970,AT5G57850
	aracyc:PWY-6544	superpathway of C28 brassinosteroid biosynthesis	AraCyc	7	AT2G38050,AT3G13730,AT3G30180,AT3G50660,AT4G36380,AT5G05690,AT5G38970
	aracyc:PWY-6546	brassinosteroids inactivation	AraCyc	11	AT1G13420,AT1G13430,AT1G67110,AT1G75130,AT2G14920,AT2G26710,AT2G36800,AT2G46950,AT2G46960,AT4G27710,AT5G38450
	aracyc:PWY-6549	nitrogen remobilization from senescing leaves	AraCyc	27	AT1G32480,AT1G53310,AT1G54340,AT1G65930,AT1G68750,AT2G05710,AT2G11270,AT2G17130,AT2G41220,AT2G42600,AT2G42790,AT2G44350,AT3G09810,AT3G14940,AT3G42628,AT3G58740,AT3G58750,AT3G60100,AT4G15530,AT4G26970,AT4G35260,AT4G35650,AT4G35830,AT5G03290,AT5G04140,AT5G14590,AT5G54950
	aracyc:PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	AraCyc	12	AT1G22100,AT1G58643,AT1G58936,AT1G59171,AT1G59312,AT2G43980,AT4G08170,AT4G33770,AT5G07370,AT5G16760,AT5G42810,AT5G61760
	aracyc:PWY-6556	pyrimidine ribonucleosides salvage II	AraCyc	10	AT2G19570,AT2G36310,AT4G29570,AT4G29580,AT4G29600,AT4G29610,AT4G29620,AT4G29630,AT4G29640,AT4G29650
	aracyc:PWY-6577	farnesylcysteine salvage pathway	AraCyc	3	AT2G22650,AT5G58560,AT5G63910
	aracyc:PWY-6595	superpathway of guanosine nucleotides degradation (plants)	AraCyc	19	AT1G72880,AT1G75210,AT2G23890,AT2G36310,AT2G38680,AT3G04390,AT3G05300,AT4G02180,AT4G14930,AT4G29260,AT4G31196,AT4G34890,AT4G34900,AT4G37500,AT5G18860,AT5G18870,AT5G18890,AT5G28050,AT5G48960
	aracyc:PWY-6596	adenosine nucleotides degradation I	AraCyc	21	AT1G05620,AT1G16350,AT1G72880,AT1G75210,AT1G79470,AT2G23890,AT2G36310,AT2G38280,AT2G38680,AT3G04390,AT4G02180,AT4G14930,AT4G29260,AT4G31196,AT4G34890,AT4G34900,AT4G37500,AT5G18860,AT5G18870,AT5G18890,AT5G48960
	aracyc:PWY-6599	guanine and guanosine salvage II	AraCyc	5	AT1G71750,AT2G36310,AT5G18860,AT5G18870,AT5G18890
	aracyc:PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	AraCyc	3	AT1G17890,AT1G73250,AT5G66280
	aracyc:PWY-6605	adenine and adenosine salvage II	AraCyc	9	AT1G27450,AT1G80050,AT2G36310,AT4G12440,AT4G22570,AT5G11160,AT5G18860,AT5G18870,AT5G18890
	aracyc:PWY-6606	guanosine nucleotides degradation II	AraCyc	17	AT1G72880,AT1G75210,AT2G23890,AT2G36310,AT2G38680,AT3G04390,AT4G02180,AT4G14930,AT4G29260,AT4G31196,AT4G34890,AT4G34900,AT4G37500,AT5G18860,AT5G18870,AT5G18890,AT5G48960
	aracyc:PWY-6607	guanosine nucleotides degradation I	AraCyc	19	AT1G72880,AT1G75210,AT2G23890,AT2G36310,AT2G38680,AT3G04390,AT3G05300,AT4G02180,AT4G14930,AT4G29260,AT4G31196,AT4G34890,AT4G34900,AT4G37500,AT5G18860,AT5G18870,AT5G18890,AT5G28050,AT5G48960
	aracyc:PWY-6612	superpathway of tetrahydrofolate biosynthesis	AraCyc	15	AT1G68760,AT1G69190,AT2G16370,AT2G19180,AT2G21550,AT2G28880,AT3G21730,AT3G54970,AT4G24380,AT4G30000,AT4G34570,AT5G41480,AT5G57850,AT5G62980,AT5G65400
	aracyc:PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	AraCyc	5	AT1G31220,AT2G38660,AT3G12290,AT4G00600,AT4G00620
	aracyc:PWY-6614	tetrahydrofolate biosynthesis I	AraCyc	9	AT1G69190,AT2G16370,AT2G19180,AT2G21550,AT4G24380,AT4G30000,AT4G34570,AT5G41480,AT5G65400
	aracyc:PWY-6619	adenine and adenosine salvage VI	AraCyc	2	AT3G09820,AT5G03300
	aracyc:PWY-6622	heptadecane biosynthesis	AraCyc	6	AT1G02190,AT1G02205,AT2G37700,AT3G23790,AT4G14070,AT5G57800
	aracyc:PWY-6623	salicylate glucosides biosynthesis II	AraCyc	3	AT1G73880,AT3G21750,AT4G01070
	aracyc:PWY-6624	salicylate glucosides biosynthesis III	AraCyc	1	AT2G43820
	aracyc:PWY-6663	plant sterol biosynthesis II	AraCyc	8	AT1G07420,AT1G11680,AT2G07050,AT3G02580,AT3G02590,AT3G04030,AT3G20960,AT4G12110
	aracyc:PWY-6668	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	AraCyc	2	AT1G61120,AT3G25180
	aracyc:PWY-6691	plaunotol biosynthesis	AraCyc	17	AT1G17050,AT1G36623,AT1G49530,AT1G78510,AT2G18620,AT2G18640,AT2G23800,AT3G02600,AT3G14510,AT3G14530,AT3G14550,AT3G20160,AT3G29430,AT3G32040,AT3G59380,AT4G36810,AT4G38460
	aracyc:PWY-6707	gallate biosynthesis	AraCyc	1	AT3G06350
	aracyc:PWY-6710	poly-hydroxy fatty acids biosynthesis	AraCyc	8	AT1G11600,AT1G64900,AT3G03470,AT3G10560,AT3G10570,AT5G04630,AT5G04660,AT5G61320
	aracyc:PWY-6717	(1,4)-beta-D-xylan degradation	AraCyc	25	AT1G02640,AT1G10050,AT1G58370,AT1G68560,AT1G78060,AT2G14690,AT3G10740,AT3G14050,AT3G19620,AT3G45940,AT3G62710,AT4G08160,AT4G22475,AT4G22495,AT4G33810,AT4G33820,AT4G33830,AT4G33840,AT4G33860,AT4G38300,AT4G38650,AT5G10560,AT5G47000,AT5G49360,AT5G64570
	aracyc:PWY-6724	starch degradation II	AraCyc	8	AT1G10760,AT3G01510,AT3G52180,AT3G52526,AT4G09020,AT4G17090,AT5G26570,AT5G64860
	aracyc:PWY-6730	methylhalides biosynthesis (plants)	AraCyc	3	AT2G43910,AT2G43920,AT2G43940
	aracyc:PWY-6733	sporopollenin precursors biosynthesis	AraCyc	40	AT1G01280,AT1G01600,AT1G04290,AT1G20560,AT1G49430,AT1G52191,AT1G62940,AT1G63710,AT1G64400,AT1G69500,AT1G77590,AT2G04350,AT2G27690,AT2G29590,AT2G30720,AT2G45970,AT2G47240,AT2G47245,AT3G05970,AT3G09405,AT3G11980,AT3G16175,AT3G44540,AT3G44550,AT3G44560,AT3G48520,AT3G56700,AT3G60060,AT4G00360,AT4G00520,AT4G10030,AT4G11030,AT4G23850,AT4G33540,AT4G33790,AT5G22420,AT5G22500,AT5G27600,AT5G48370,AT5G58860
	aracyc:PWY-6736	sulfur volatiles biosynthesis	AraCyc	2	AT2G43910,AT3G01660
	aracyc:PWY-6745	phytochelatins biosynthesis	AraCyc	6	AT1G03980,AT1G69820,AT4G29210,AT4G39640,AT4G39650,AT5G44070
	aracyc:PWY-6754	S-methyl-5'-thioadenosine degradation I	AraCyc	6	AT1G49820,AT4G24340,AT4G24350,AT4G28940,AT4G34840,AT4G38800
	aracyc:PWY-6762	salicylate glucosides biosynthesis IV	AraCyc	3	AT2G43820,AT2G43840,AT4G01070
	aracyc:PWY-6773	1,3-beta-D-glucan biosynthesis	AraCyc	14	AT1G05570,AT1G06490,AT2G13680,AT2G30680,AT2G31960,AT2G36850,AT3G07160,AT3G14570,AT3G14780,AT3G59100,AT4G03550,AT4G04970,AT5G13000,AT5G36870
	aracyc:PWY-6786	detoxification of reactive carbonyls in chloroplasts	AraCyc	16	AT1G23740,AT1G54870,AT1G65560,AT2G21250,AT2G24190,AT2G37760,AT2G37770,AT2G37790,AT3G03980,AT3G04000,AT3G05260,AT3G53880,AT3G61220,AT4G13180,AT5G18210,AT5G62420
	aracyc:PWY-6787	flavonoid biosynthesis (in equisetum)	AraCyc	35	AT1G02050,AT1G04380,AT1G06645,AT1G53520,AT1G79760,AT2G06960,AT2G26310,AT2G36690,AT2G44800,AT3G19000,AT3G19010,AT3G51240,AT3G55120,AT3G60290,AT3G63170,AT4G00040,AT4G10490,AT4G10500,AT4G34850,AT5G05270,AT5G07480,AT5G07990,AT5G08640,AT5G13930,AT5G24530,AT5G43450,AT5G43935,AT5G48020,AT5G59540,AT5G63580,AT5G63590,AT5G63595,AT5G63600,AT5G66220,AT5G66230
	aracyc:PWY-6792	scopoletin biosynthesis	AraCyc	11	AT1G24735,AT1G55290,AT1G67980,AT1G67990,AT3G13610,AT3G61990,AT3G62000,AT4G23340,AT4G26220,AT4G34050,AT5G12270
	aracyc:PWY-6794	adenosine 5'-phosphoramidate biosynthesis	AraCyc	1	AT5G58240
	aracyc:PWY-6799	fatty acid biosynthesis initiation (plant mitochondria)	AraCyc	3	AT2G04540,AT2G30200,AT3G16170
	aracyc:PWY-6801	volatile esters biosynthesis (during fruit ripening)	AraCyc	4	AT1G31490,AT1G32910,AT1G78990,AT5G16410
	aracyc:PWY-6802	salidroside biosynthesis	AraCyc	4	AT2G16890,AT2G20340,AT4G28680,AT5G14860
	aracyc:PWY-6803	phosphatidylcholine acyl editing	AraCyc	56	AT1G02660,AT1G04010,AT1G05800,AT1G06250,AT1G06800,AT1G10040,AT1G10740,AT1G20560,AT1G23330,AT1G27480,AT1G29120,AT1G30370,AT1G31480,AT1G33270,AT1G34340,AT1G49430,AT1G51440,AT1G52700,AT1G61850,AT1G62940,AT1G63050,AT1G64400,AT1G77590,AT1G78690,AT1G80950,AT2G03140,AT2G04350,AT2G06925,AT2G19690,AT2G30550,AT2G31690,AT2G42690,AT2G45670,AT2G47240,AT2G47245,AT3G03310,AT3G03370,AT3G05510,AT3G05970,AT3G27325,AT3G50790,AT3G61680,AT3G62590,AT4G11030,AT4G16820,AT4G19860,AT4G23850,AT4G25770,AT4G29460,AT4G29470,AT5G18630,AT5G18640,AT5G27600,AT5G42930,AT5G49950,AT5G51180
	aracyc:PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	AraCyc	4	AT1G13560,AT3G15820,AT3G15830,AT3G25585
	aracyc:PWY-6806	carotenoid cleavage	AraCyc	4	AT2G44990,AT3G63520,AT4G19170,AT4G32810
